Gene Name,Reduced Gene Name,Organism,Mode
DHCR24,DHCR24,human,ensembl
DDX6,DDX6,human,ensembl
P4HA2,P4HA2,human,ensembl
DHX37,DHX37,human,ensembl
YTHDF2,YTHDF2,human,ensembl
PNMA2,PNMA2,human,ensembl
EIF1,EIF1,human,ensembl
SEC14L2,SEC14L2,human,ensembl
SGSH,SGSH,human,ensembl
DDT,DDT,human,ensembl
HSDL1,HSDL1,human,ensembl
LRP10,LRP10,human,ensembl
TYMS,TYMS,human,ensembl
PDE5A,PDE5A,human,ensembl
ITIH4,ITIH4,human,ensembl
TMEM179B,TMEM179B,human,ensembl
ESYT1,ESYT1,human,ensembl
GSTK1,GSTK1,human,ensembl
UFC1,UFC1,human,ensembl
CLTB,CLTB,human,ensembl
STAM,STAM,human,ensembl
GLTP,GLTP,human,ensembl
PDZRN3,PDZRN3,human,ensembl
FARS2,FARS2,human,ensembl
NDUFS8,NDUFS8,human,ensembl
GRSF1,GRSF1,human,ensembl
P4HA1,P4HA1,human,ensembl
TIA1,TIA1,human,ensembl
DIP2C,DIP2C,human,ensembl
RMDN1,RMDN1,human,ensembl
TFG,TFG,human,ensembl
VTA1,VTA1,human,ensembl
RHOC,RHOC,human,ensembl
VPS25,VPS25,human,ensembl
RRM1,RRM1,human,ensembl
MME,MME,human,ensembl
NOL7,NOL7,human,ensembl
TK2,TK2,human,ensembl
CAPNS1,CAPNS1,human,ensembl
SMC2,SMC2,human,ensembl
EZR,EZR,human,ensembl
MTHFS,MTHFS,human,ensembl
SH3BGRL,SH3BGRL,human,ensembl
H2AZ1,H2AZ1,human,ensembl
ZDHHC20,ZDHHC20,human,ensembl
SLC1A5,SLC1A5,human,ensembl
C6orf47,C6orf47,human,ensembl
AKR1A1,AKR1A1,human,ensembl
SERPINH1,SERPINH1,human,ensembl
SELENOF,SELENOF,human,ensembl
HADHA,HADHA,human,ensembl
ITPRIP,ITPRIP,human,ensembl
PDGFRA,PDGFRA,human,ensembl
PPIL1,PPIL1,human,ensembl
HSP90AB2P,HSP90AB2P,human,ensembl
PEX14,PEX14,human,ensembl
ISOC2,ISOC2,human,ensembl
STAU2,STAU2,human,ensembl
RNASEK-C17orf49,RNASEK-C17orf49,human,ensembl
GOLPH3,GOLPH3,human,ensembl
KRR1,KRR1,human,ensembl
PLSCR4,PLSCR4,human,ensembl
AKAP13,AKAP13,human,ensembl
HIBADH,HIBADH,human,ensembl
PTGES3L-AARSD1,PTGES3L-AARSD1,human,ensembl
NEXN,NEXN,human,ensembl
ANXA6,ANXA6,human,ensembl
PGK1,PGK1,human,ensembl
CAPNS2,CAPNS2,human,ensembl
UBR7,UBR7,human,ensembl
MGMT,MGMT,human,ensembl
MXRA8,MXRA8,human,ensembl
KIF13B,KIF13B,human,ensembl
SNRPB2,SNRPB2,human,ensembl
AXL,AXL,human,ensembl
RPS8,RPS8,human,ensembl
LAMTOR1,LAMTOR1,human,ensembl
PMM1,PMM1,human,ensembl
ATP5MF,ATP5MF,human,ensembl
CCND1,CCND1,human,ensembl
NDUFA2,NDUFA2,human,ensembl
CRABP2,CRABP2,human,ensembl
TNFAIP8L3,TNFAIP8L3,human,ensembl
CWC15,CWC15,human,ensembl
SAE1,SAE1,human,ensembl
RPL35,RPL35,human,ensembl
KCMF1,KCMF1,human,ensembl
MAOA,MAOA,human,ensembl
MAOB,MAOB,human,ensembl
MMUT,MMUT,human,ensembl
CAV1,CAV1,human,ensembl
LAMA5,LAMA5,human,ensembl
MIF,MIF,human,ensembl
DAP,DAP,human,ensembl
COA6,COA6,human,ensembl
SLC29A1,SLC29A1,human,ensembl
NUP37,NUP37,human,ensembl
SRP14,SRP14,human,ensembl
MRPL49,MRPL49,human,ensembl
COX7A2L,COX7A2L,human,ensembl
YIPF5,YIPF5,human,ensembl
TUBB8,TUBB8,human,ensembl
ABHD14B,ABHD14B,human,ensembl
HNMT,HNMT,human,ensembl
PPT1,PPT1,human,ensembl
MTHFD2,MTHFD2,human,ensembl
TSPAN6,TSPAN6,human,ensembl
IK,IK,human,ensembl
CD151,CD151,human,ensembl
FAT4,FAT4,human,ensembl
APOD,APOD,human,ensembl
ARHGAP17,ARHGAP17,human,ensembl
COA3,COA3,human,ensembl
SNRPN,SNRPN,human,ensembl
CAMK1,CAMK1,human,ensembl
DGLUCY,DGLUCY,human,ensembl
ACADSB,ACADSB,human,ensembl
CST3,CST3,human,ensembl
NNMT,NNMT,human,ensembl
ATOX1,ATOX1,human,ensembl
ABLIM3,ABLIM3,human,ensembl
NXN,NXN,human,ensembl
FGF2,FGF2,human,ensembl
PHB,PHB1,human,ensembl
GPX4,GPX4,human,ensembl
GPC1,GPC1,human,ensembl
PGM1,PGM1,human,ensembl
AGTRAP,AGTRAP,human,ensembl
GJC1,GJC1,human,ensembl
MFSD5,MFSD5,human,ensembl
PDPR,PDPR,human,ensembl
PPIC,PPIC,human,ensembl
APOB,APOB,human,ensembl
PLCB4,PLCB4,human,ensembl
GSN,GSN,human,ensembl
SMARCC1,SMARCC1,human,ensembl
ARPC3,ARPC3,human,ensembl
PTPN12,PTPN12,human,ensembl
ANKS1A,ANKS1A,human,ensembl
FAHD2A,FAHD2A,human,ensembl
TF,TF,human,ensembl
LASP1,LASP1,human,ensembl
LPP,LPP,human,ensembl
ADH4,ADH4,human,ensembl
PDE4DIP,PDE4DIP,human,ensembl
PEX11B,PEX11B,human,ensembl
COMMD10,COMMD10,human,ensembl
RPS15,RPS15,human,ensembl
TBCB,TBCB,human,ensembl
LAMA4,LAMA4,human,ensembl
GNA14,GNA14,human,ensembl
NOP9,NOP9,human,ensembl
UBASH3B,UBASH3B,human,ensembl
RFC3,RFC3,human,ensembl
VTN,VTN,human,ensembl
KLC4,KLC4,human,ensembl
NCEH1,NCEH1,human,ensembl
RBBP9,RBBP9,human,ensembl
AK3,AK3,human,ensembl
FUCA2,FUCA2,human,ensembl
CEP41,CEP41,human,ensembl
ZC3H15,ZC3H15,human,ensembl
PLD3,PLD3,human,ensembl
PSAP,PSAP,human,ensembl
NDUFS6,NDUFS6,human,ensembl
SNRPB,SNRPB,human,ensembl
SIAE,SIAE,human,ensembl
F5,F5,human,ensembl
RAB13,RAB13,human,ensembl
RABEPK,RABEPK,human,ensembl
RND3,RND3,human,ensembl
GLMP,GLMP,human,ensembl
F2,F2,human,ensembl
BPNT2,BPNT2,human,ensembl
COL6A3,COL6A3,human,ensembl
CSNK1A1,CSNK1A1,human,ensembl
SP100,SP100,human,ensembl
TAF1C,TAF1C,human,ensembl
STAT6,STAT6,human,ensembl
TCEA1,TCEA1,human,ensembl
BDH2,BDH2,human,ensembl
NCBP3,NCBP3,human,ensembl
PLBD2,PLBD2,human,ensembl
RPL11,RPL11,human,ensembl
THSD4,THSD4,human,ensembl
ADAM9,ADAM9,human,ensembl
COX7C,COX7C,human,ensembl
GLB1,GLB1,human,ensembl
TRAPPC6B,TRAPPC6B,human,ensembl
CAMSAP1,CAMSAP1,human,ensembl
MTR,MTR,human,ensembl
