Gene Names,Gene Names (primary),Reviewed,Organism,Protein ID
NELFCD;NELFD;TH1;TH1L;HSPC130,NELFCD,reviewed,Homo sapiens (Human),Q8IXH7
STRN4,STRN4,unreviewed,Homo sapiens (Human),M0QXN2
THOC5,THOC5,unreviewed,Homo sapiens (Human),H7C441
C15orf38-AP3S2,C15orf38-AP3S2,unreviewed,Homo sapiens (Human),A0A0A6YYH1
Vasp,Vasp,unreviewed,Rattus norvegicus (Rat),F7EWC1
HCK,HCK,unreviewed,Homo sapiens (Human),J3KPD6
SLC7A11,SLC7A11,unreviewed,Homo sapiens (Human),H0Y9F9
PRSS47P;PRSS47,PRSS47P,reviewed,Homo sapiens (Human),A8MTI9
SYAP1;PRO3113,SYAP1,reviewed,Homo sapiens (Human),Q96A49
TMEM222,TMEM222,unreviewed,Homo sapiens (Human),Q8TDQ4
MEMO1;C2orf4;MEMO;NS5ATP7;CGI-27,MEMO1,reviewed,Homo sapiens (Human),Q9Y316
SPON2,SPON2,unreviewed,Homo sapiens (Human),D6RA41
RNMT,RNMT,unreviewed,Homo sapiens (Human),K7EPP5
Setd7;rCG_49977,Setd7,unreviewed,Rattus norvegicus (Rat),D4ADE5
WDR48,WDR48,unreviewed,Homo sapiens (Human),F8W6P2
GOLGA1,GOLGA1,unreviewed,Homo sapiens (Human),R4GNH1
Aldh7a1;Ald7a1,Aldh7a1,reviewed,Rattus norvegicus (Rat),Q64057
ACP1;hCG_1784797,ACP1,unreviewed,Homo sapiens (Human),G5E9R5
SPDL1,SPDL1,unreviewed,Homo sapiens (Human),D6RIF7
GPRC5C,GPRC5C,unreviewed,Homo sapiens (Human),J9JIE0
CYP4V2,CYP4V2,reviewed,Homo sapiens (Human),Q6ZWL3
KCNMA1,KCNMA1,unreviewed,Homo sapiens (Human),A0A1W2PP94
CYB561D2;101F6;LUCA12.2,CYB561D2,reviewed,Homo sapiens (Human),O14569
PTMS,PTMS,reviewed,Homo sapiens (Human),P20962
NUDT15;MTH2,NUDT15,reviewed,Homo sapiens (Human),Q9NV35
Dpf2,Dpf2,unreviewed,Rattus norvegicus (Rat),G3V8U3
ARSB,ARSB,reviewed,Homo sapiens (Human),P15848
MYLK;MLCK;MLCK1;MYLK1,MYLK,reviewed,Homo sapiens (Human),Q15746
BNC2,BNC2,unreviewed,Homo sapiens (Human),H0Y4J1
RXRA;NR2B1,RXRA,reviewed,Homo sapiens (Human),P19793
SPDL1,SPDL1,unreviewed,Homo sapiens (Human),H0YBG5
CASP6;MCH2,CASP6,reviewed,Homo sapiens (Human),P55212
NUP58,NUP58,unreviewed,Homo sapiens (Human),Q5JRG1
LARP1,LARP1,unreviewed,Homo sapiens (Human),E5RHK4
Cstb;Cst6,Cstb,reviewed,Rattus norvegicus (Rat),P01041
PTPA,PTPA,unreviewed,Homo sapiens (Human),A6PVN5
BLOC1S6,BLOC1S6,unreviewed,Homo sapiens (Human),H3BNE3
RAC2;hCG_1811995,RAC2,unreviewed,Homo sapiens (Human),B1AH80
IGKV2-40,IGKV2-40,reviewed,Homo sapiens (Human),A0A087WW87
JPT2,JPT2,unreviewed,Homo sapiens (Human),H3BMV3
APOO;MGC4825;hCG_1811488,APOO,unreviewed,Homo sapiens (Human),G3V1B6
PYCR1;hCG_38803,PYCR1,unreviewed,Homo sapiens (Human),J3QL32
Mtss1;Mtss1_predicted;rCG_59585,Mtss1,unreviewed,Rattus norvegicus (Rat),D3ZYM5
MRI1;MRDI;UNQ6390/PRO21135,MRI1,reviewed,Homo sapiens (Human),Q9BV20
CTNNA1,CTNNA1,unreviewed,Homo sapiens (Human),H0YBB8
DDX5,DDX5,unreviewed,Homo sapiens (Human),J3QRQ7
ARPC5L,ARPC5L,reviewed,Homo sapiens (Human),Q9BPX5
MICA,MICA,unreviewed,Homo sapiens (Human),H0Y615
LOC298111;LOC120102889,LOC298111,unreviewed,Rattus norvegicus (Rat),A0A096MIX6
Stk25;rCG_55472,Stk25,unreviewed,Rattus norvegicus (Rat),Q6V9V9
NAF1,NAF1,reviewed,Homo sapiens (Human),Q96HR8
DMTN,DMTN,unreviewed,Homo sapiens (Human),E5RGQ7
MRPS9;RPMS9,MRPS9,reviewed,Homo sapiens (Human),P82933
RIMOC1;C5orf51,RIMOC1,reviewed,Homo sapiens (Human),A6NDU8
Rbm6;RGD1560367_predicted;rCG_25645,Rbm6,unreviewed,Rattus norvegicus (Rat),D4ACW0
FKBP2,FKBP2,unreviewed,Homo sapiens (Human),A0A494C1N0
CLCA1;CACC1,CLCA1,reviewed,Homo sapiens (Human),A8K7I4
MRPS11;RPMS11;HCC2,MRPS11,reviewed,Homo sapiens (Human),P82912
Lsm12;RGD1309441_predicted;rCG_35495,Lsm12,unreviewed,Rattus norvegicus (Rat),D4A8G0
BTBD11,BTBD11,reviewed,Homo sapiens (Human),A6QL63
GIT2,GIT2,unreviewed,Homo sapiens (Human),F8VXI9
ATP5F1EP2;ATP5EP2,ATP5F1EP2,reviewed,Homo sapiens (Human),Q5VTU8
SPRR2F,SPRR2F,reviewed,Homo sapiens (Human),Q96RM1
CD47,CD47,unreviewed,Homo sapiens (Human),A0A2R8Y484
Tmed2;Rnp24,Tmed2,reviewed,Rattus norvegicus (Rat),Q63524
FLII;FLIL,FLII,reviewed,Homo sapiens (Human),Q13045
BET1L,BET1L,unreviewed,Homo sapiens (Human),E9PHY4
HP,HP,unreviewed,Homo sapiens (Human),H3BS21
TMEM87A;PSEC0094,TMEM87A,reviewed,Homo sapiens (Human),Q8NBN3
DCPS,DCPS,unreviewed,Homo sapiens (Human),A0A3B3ITF0
TVP23B,TVP23B,unreviewed,Homo sapiens (Human),J3KS67
Hbe1;epsilon;1;Glnb1;rCG_39817,Hbe1,unreviewed,Rattus norvegicus (Rat),O88752
Srgap2,Srgap2,unreviewed,Rattus norvegicus (Rat),A0A0G2JZ92
PRMT5,PRMT5,unreviewed,Homo sapiens (Human),H7BZ44
C1RL,C1RL,unreviewed,Homo sapiens (Human),F5GWF3
DNAJC6,DNAJC6,unreviewed,Homo sapiens (Human),S4R305
Fhl1,Fhl1,reviewed,Rattus norvegicus (Rat),Q9WUH4
Chtopl1,Chtopl1,unreviewed,Rattus norvegicus (Rat),M0RDD7
Rab27b,Rab27b,reviewed,Rattus norvegicus (Rat),Q99P74
DDX24,DDX24,unreviewed,Homo sapiens (Human),F5GYL3
TFRC;hCG_22086,TFRC,unreviewed,Homo sapiens (Human),G3V0E5
LZTR1,LZTR1,unreviewed,Homo sapiens (Human),A0A2R8Y7K3
LEMD2,LEMD2,unreviewed,Homo sapiens (Human),H7C2Z0
NCSTN,NCSTN,unreviewed,Homo sapiens (Human),H0Y6T7
Timp3;rCG_49172,Timp3,unreviewed,Rattus norvegicus (Rat),Q4V8L0
TM9SF1,TM9SF1,unreviewed,Homo sapiens (Human),E9PL78
LPCAT4;AGPAT7;AYTL3;LPEAT2,LPCAT4,reviewed,Homo sapiens (Human),Q643R3
EI24,EI24,unreviewed,Homo sapiens (Human),E9PLB8
SULF2,SULF2,unreviewed,Homo sapiens (Human),H0Y872
NELFE,NELFE,unreviewed,Homo sapiens (Human),A0A0A0MT02
