"id" "Protein IDs" "Protein names" "Gene names" "Set1_D0-1" "Set1_D3-1" "Set1_D7-3" "Set1_D14-3" "Set1_reference" "Set2_D0-2" "Set2_D3-2" "Set2_D7-2" "Set2_D14-2" "Set2_reference" "Set3_D0-3" "Set3_D3-3" "Set3_D7-1" "Set3_D14-1" "Set3_reference"
0 "Q9H0G5;A0A024QZ33;K7ERM9" "Nuclear speckle splicing regulatory protein 1" "CCDC55;NSRP1" 89964.877095582 80279.345770127 84422.6439876644 84124.807952956 82637.906616656 85347.0594447844 84102.926678233 83955.0767254077 72999.2172278784 82637.906616656 81819.1117767188 68748.487448481 69321.4221263574 86005.5974620208 82637.906616656
1 "A0A2R8Y6A7;A0A2R8YD12;A0A087X1N8;A0A024QZX5" "" "SERPINB6" 772130.469068802 764155.791118088 805294.267691944 800304.27396828 787596.292139597 721429.936384886 796588.90081815 805499.503192435 795282.834048039 787596.292139597 775582.801990896 779241.618049124 759438.104674682 896391.493876641 787596.292139597
3 "H0Y394;C9JBS3;H7C2D1;C9JMQ6;C9J739;C9J5E5;A0A024R4E5;H7C3D0;C9JHN6;C9JQ82;C9JEJ8;C9JHS9;C9JHZ8;C9JHS7;C9JES8;C9JK79;C9JZI8;C9JIZ1;H7C0A4;C9JT62;H7BZC3;Q00341" "Vigilin" "HDLBP" 1942723.10121996 1807194.0802202 1751894.85695735 1486160.86444201 1736531.88849414 1934441.32163665 1744301.38151871 1712828.1686284 1461300.84838452 1736531.88849414 1869892.01905935 1840851.19008169 1755655.56977376 1585312.77619323 1736531.88849414
6 "A0A024RA52;H7C402;P25787;H3BT36;C9JCK5" "Proteasome subunit alpha type;Proteasome subunit alpha type-2" "PSMA2;Psma2" 407247.650497637 388770.177580405 378734.200551167 368388.206647334 402302.180362385 394177.262469441 413546.796809631 411365.121967698 412540.685892186 402302.180362385 418657.231956833 420838.797491762 413906.217486245 386617.479605121 402302.180362385
7 "Q14241;A0A024RAC6" "Transcription elongation factor B polypeptide 3" "TCEB3" 48773.3418598168 53286.3445623171 53073.75051358 50846.7961077775 48581.2023664297 51150.1689850038 48262.9219187301 46128.7839038518 39401.8503931243 48581.2023664297 56970.5021011867 43963.8973623722 45995.1377334252 43850.5296564749 48581.2023664297
8 "Q96BI1;E9PRM7;A0A0J9YWM3;A0A024RCG2" "Solute carrier family 22 member 18" "SLC22A18" 66077.2761663719 86209.5742707204 68028.3460549793 73779.1427690196 66451.8765143176 67501.9341930194 78707.3526489661 65527.2910634079 63683.4179796538 66451.8765143176 72893.0952506566 68304.6797713534 64806.6829828755 70708.6542861007 66451.8765143176
9 "A0A024RCR6;F6VEM6;F6XTU0;F6UR09;A0A0G2JJR8;X6REW1;A0A0G2JL47;A0A1B0GX79;F6X9W3;F6U1F2;F6WML8;A0A0G2JK23;F6TC96;H0Y4L1;A0A0G2JJM1;H0Y710;P46379;F6U341;F6S6P2" "Large proline-rich protein BAG6" "BAT3;BAG6" 105588.729262295 120824.014862246 118001.370238927 119669.214746912 113882.059588755 106827.347390667 113839.363535343 123703.617878885 118388.975036861 113882.059588755 108983.834550142 117195.268590994 123548.635925572 115808.894009888 113882.059588755
10 "H7C0E8;A0A067XG54;Q8NB49" "Phospholipid-transporting ATPase;Phospholipid-transporting ATPase IG" "ATP11C" 105316.636671535 112071.619068822 108543.57121648 121765.349169248 112173.116237268 112984.584734662 111701.211633614 112932.301245598 122598.694119774 112173.116237268 124394.640723423 120987.944589811 114828.673315054 108559.504167265 112173.116237268
11 "A0A075B6E5" "" "ENAH" 5313.07126633129 6565.99400893736 7347.05247102857 7281.02759225899 7085.37868801554 6551.40788446458 7098.10612501075 7118.01276307019 7674.28009495906 7085.37868801554 6533.85847193351 6676.26282612801 6914.75112153695 6326.82589950864 7085.37868801554
13 "M0R1T7;M0R1K2;A0A075B797;M0QX85;Q9Y314;M0R3B2;A0A075B6F9" "Nitric oxide synthase-interacting protein" "NOSIP;Nosip" 54525.2779768475 46439.0644643935 42564.3896722746 43700.7159008971 45318.3240397734 55557.8110452689 38308.3163668528 45411.4421004899 32965.7701148579 45318.3240397734 54917.1868852899 40055.6873349677 41407.2823757579 44045.2117297157 45318.3240397734
41 "J3KPL8;O00213;A0A075B7G8" "Amyloid beta A4 precursor protein-binding family B member 1" "APBB1" 10776.2681251047 11151.5141738207 11451.4112168988 10428.5636383518 10875.1687355771 11598.826379678 9654.55257508554 12160.9479588197 11500.5035118597 10875.1687355771 10303.5075872753 10360.7142392906 11196.8266274535 10348.7970571577 10875.1687355771
44 "Q16881;A0A087WSW9;E9PKI4;E9PRI8;A0A087WSY9;E9PLT3;A0A0B4J225;E9PIR7;F8W809;E9PIZ5;A0A182DWI3;E9PQI3;E9PKD3" "Thioredoxin reductase 1, cytoplasmic" "TXNRD1" 583957.277092081 489424.706596788 486998.720119201 479476.952440159 548668.637500543 572178.188154196 633487.266033317 584832.783198327 527322.370500191 548668.637500543 625238.5459684 602754.950495793 535577.632459507 555519.19575663 548668.637500543
