Gene names,Gene names  (primary ),Status,Organism,Protein ID
UBE2V2,UBE2V2,unreviewed,Homo sapiens (Human),H0YBP9
PCMT1,PCMT1,unreviewed,Homo sapiens (Human),C9J0F2
CD81,CD81,unreviewed,Homo sapiens (Human),E9PRJ8
ABCC1,ABCC1,unreviewed,Homo sapiens (Human),I3L4X2
RAD23A,RAD23A,unreviewed,Homo sapiens (Human),K7ELW1
SKP1,SKP1,unreviewed,Homo sapiens (Human),E7ERH2
RAB7A,RAB7A,unreviewed,Homo sapiens (Human),C9J592
RAB7A RAB7,RAB7A,reviewed,Homo sapiens (Human),P51149
RACK1,RACK1,unreviewed,Homo sapiens (Human),J3KPE3
SERPINC1,SERPINC1,unreviewed,Homo sapiens (Human),Q8TCE1
HSPA1B HSP72,HSPA1B,reviewed,Homo sapiens (Human),P0DMV9
CROCC,CROCC,unreviewed,Homo sapiens (Human),B1AKD8
PDLIM7,PDLIM7,unreviewed,Homo sapiens (Human),D6RH06
SEPTIN9,SEPTIN9,unreviewed,Homo sapiens (Human),K7EKN4
CAMK2D,CAMK2D,unreviewed,Homo sapiens (Human),E9PF82
HYOU1 GRP170 ORP150,HYOU1,reviewed,Homo sapiens (Human),Q9Y4L1
GMPR2,GMPR2,unreviewed,Homo sapiens (Human),H0YK71
BST1,BST1,unreviewed,Homo sapiens (Human),A6NC48
HNRNPD,HNRNPD,unreviewed,Homo sapiens (Human),D6RAF8
IDE,IDE,reviewed,Homo sapiens (Human),P14735
NQO2,NQO2,unreviewed,Homo sapiens (Human),Q5TD05
VIM,VIM,unreviewed,Homo sapiens (Human),B0YJC5
SEPTIN9,SEPTIN9,unreviewed,Homo sapiens (Human),K7EIE4
ETF1,ETF1,unreviewed,Homo sapiens (Human),B7Z7P8
ICAM1,ICAM1,unreviewed,Homo sapiens (Human),K7EKL8
KIF2A,KIF2A,unreviewed,Homo sapiens (Human),H0Y8H2
TIMP2 hCG_95573,TIMP2,unreviewed,Homo sapiens (Human),B4DFW2
TPM1,TPM1,unreviewed,Homo sapiens (Human),B7Z596
CTSB,CTSB,unreviewed,Homo sapiens (Human),E9PNL5
CD81 TAPA1 TSPAN28,CD81,reviewed,Homo sapiens (Human),P60033
HEXA,HEXA,unreviewed,Homo sapiens (Human),H3BTD4
EIF4A2 DDX2B EIF4F,EIF4A2,reviewed,Homo sapiens (Human),Q14240
DCPS DCS1 HINT5 HSPC015,DCPS,reviewed,Homo sapiens (Human),Q96C86
HEXB,HEXB,unreviewed,Homo sapiens (Human),H0Y9B6
SLC39A14,SLC39A14,unreviewed,Homo sapiens (Human),E5RFZ8
ADSL,ADSL,unreviewed,Homo sapiens (Human),A0A096LP72
NAP1L4,NAP1L4,unreviewed,Homo sapiens (Human),E9PKT8
RACK1,RACK1,unreviewed,Homo sapiens (Human),H0Y8W2
RECK ST15,RECK,reviewed,Homo sapiens (Human),O95980
LGALS1,LGALS1,reviewed,Homo sapiens (Human),P09382
GM2A,GM2A,reviewed,Homo sapiens (Human),P17900
CD44,CD44,unreviewed,Homo sapiens (Human),Q86UZ1
TXNDC17,TXNDC17,unreviewed,Homo sapiens (Human),I3L0K2
RACK1,RACK1,unreviewed,Homo sapiens (Human),H0YAF8
SDF4 hCG_19193,SDF4,unreviewed,Homo sapiens (Human),G3V1E2
NAP1L4,NAP1L4,unreviewed,Homo sapiens (Human),C9JZI7
