Gene names,Gene names  (primary ),Status,Organism,Protein ID,Gene Names,Gene Names (primary),Reviewed
Tubb3,Tubb3,reviewed,Rattus norvegicus (Rat),Q4QRB4,,,
BMI1,BMI1,unreviewed,Homo sapiens (Human),Q5T8Z6,,,
TAF1C,TAF1C,unreviewed,Homo sapiens (Human),H3BR71,,,
SCYL2,SCYL2,unreviewed,Homo sapiens (Human),A0A0U1RQQ9,,,
LRRFIP2,LRRFIP2,unreviewed,Homo sapiens (Human),C9J0U5,,,
SMTN,SMTN,unreviewed,Homo sapiens (Human),C9JQZ8,,,
YWHAZ,YWHAZ,unreviewed,Homo sapiens (Human),E5RGE1,,,
CLINT1,CLINT1,unreviewed,Homo sapiens (Human),H0YD52,,,
INTS12,INTS12,unreviewed,Homo sapiens (Human),D6R9W3,,,
Abhd17b,Abhd17b,reviewed,Rattus norvegicus (Rat),Q6AY17,,,
MCU;C10orf42;CCDC109A,MCU,reviewed,Homo sapiens (Human),Q8NE86,,,
RAE1;MRNP41,RAE1,reviewed,Homo sapiens (Human),P78406,,,
MTOR,MTOR,unreviewed,Homo sapiens (Human),B1AKQ2,,,
HNRNPA2B1;HNRPA2B1,HNRNPA2B1,reviewed,Homo sapiens (Human),P22626,,,
LTBP1,LTBP1,unreviewed,Homo sapiens (Human),H7C2H7,,,
MRPL45,MRPL45,unreviewed,Homo sapiens (Human),A0A087X2D5,,,
DNAJB4,DNAJB4,unreviewed,Homo sapiens (Human),C9JUL4,,,
CLN6;hCG_23813,CLN6,unreviewed,Homo sapiens (Human),H3BUT1,,,
PDCD10,PDCD10,unreviewed,Homo sapiens (Human),F8WDF3,,,
CNOT2,CNOT2,unreviewed,Homo sapiens (Human),A0A087X050,,,
NECAP2,NECAP2,reviewed,Homo sapiens (Human),Q9NVZ3,,,
Psmc2;Mss1,Psmc2,reviewed,Rattus norvegicus (Rat),Q63347,,,
TIMM50,TIMM50,unreviewed,Homo sapiens (Human),M0R2F8,,,
Srsf3;LOC100910660;rCG_61099,Srsf3,unreviewed,Rattus norvegicus (Rat),Q0ZFS8,,,
GOSR2,GOSR2,unreviewed,Homo sapiens (Human),A0A1W2PPW8,,,
Parva;Actp,Parva,reviewed,Rattus norvegicus (Rat),Q9HB97,,,
CCM2,CCM2,unreviewed,Homo sapiens (Human),A0A3B3IRS0,,,
ATP5PD,ATP5PD,unreviewed,Homo sapiens (Human),F5H608,,,
FTL,FTL,reviewed,Homo sapiens (Human),P02792,,,
PLRG1,PLRG1,reviewed,Homo sapiens (Human),O43660,,,
APOA1,APOA1,reviewed,Homo sapiens (Human),P02647,,,
ABI3BP,ABI3BP,unreviewed,Homo sapiens (Human),H7C4N5,,,
BET1,BET1,reviewed,Homo sapiens (Human),O15155,,,
KLC1,KLC1,unreviewed,Homo sapiens (Human),F8W6L3,,,
SCYL2,SCYL2,unreviewed,Homo sapiens (Human),F8VSC5,,,
COL16A1,COL16A1,unreviewed,Homo sapiens (Human),A6NCT7,,,
CRYBG1,CRYBG1,unreviewed,Homo sapiens (Human),A0A0J9YWL0,,,
NUP35;MP44;NUP53,NUP35,reviewed,Homo sapiens (Human),Q8NFH5,,,
SDC2,SDC2,unreviewed,Homo sapiens (Human),E9PBI9,,,
SLC16A1;hCG_37455,SLC16A1,unreviewed,Homo sapiens (Human),Q5T8R5,,,
NUP85,NUP85,unreviewed,Homo sapiens (Human),J3QLV0,,,
NME3,NME3,reviewed,Homo sapiens (Human),Q13232,,,
HLA-B;HLAB,HLA-B,reviewed,Homo sapiens (Human),P01889,,,
DCTN1,DCTN1,unreviewed,Homo sapiens (Human),C9JJN7,,,
ANK2,ANK2,unreviewed,Homo sapiens (Human),A0A5F9ZI40,,,
ANLN,ANLN,reviewed,Homo sapiens (Human),Q9NQW6,,,
DAAM2,DAAM2,unreviewed,Homo sapiens (Human),F2Z2Q2,,,
BROX,BROX,unreviewed,Homo sapiens (Human),F5GXQ0,,,
RACK1,RACK1,unreviewed,Homo sapiens (Human),H0Y8W2,,,
P2RX4,P2RX4,unreviewed,Homo sapiens (Human),F5H1M6,,,
Gk2;Gk-rs2;rCG_37852,Gk2,unreviewed,Rattus norvegicus (Rat),Q68FP7,,,
TRAP1,TRAP1,unreviewed,Homo sapiens (Human),I3L239,,,
DMD,DMD,unreviewed,Homo sapiens (Human),A0A087WTU7,,,
SHMT2,SHMT2,unreviewed,Homo sapiens (Human),G3V2Y1,,,
SEC14L1,SEC14L1,unreviewed,Homo sapiens (Human),K7ERB3,,,
Slc25a20;rCG_25127,Slc25a20,unreviewed,Rattus norvegicus (Rat),Q66HP8,,,
MRPL2;CGI-22,MRPL2,reviewed,Homo sapiens (Human),Q5T653,,,
Sigmar1;Oprs1,Sigmar1,reviewed,Rattus norvegicus (Rat),Q9R0C9,,,
Chtop;Fop,Chtop,reviewed,Rattus norvegicus (Rat),Q498T2,,,
IGBP1;IBP1,IGBP1,reviewed,Homo sapiens (Human),P78318,,,
HNRNPM;HNRPM;NAGR1,HNRNPM,reviewed,Homo sapiens (Human),P52272,,,
EPS8,EPS8,unreviewed,Homo sapiens (Human),F5H1B5,,,
Cdk1;Cdc2;Cdc2a;Cdkn1,Cdk1,reviewed,Rattus norvegicus (Rat),P39951,,,
U2SURP,U2SURP,unreviewed,Homo sapiens (Human),H7C4V2,,,
ABHD12,ABHD12,unreviewed,Homo sapiens (Human),I3L1V0,,,
TSC2,TSC2,unreviewed,Homo sapiens (Human),A0A2R8YDZ2,,,
CELF1;BRUNOL2;CUGBP;CUGBP1;NAB50,CELF1,reviewed,Homo sapiens (Human),Q92879,,,
RPL10;DXS648E;QM,RPL10,reviewed,Homo sapiens (Human),P27635,,,
MOSPD2,MOSPD2,unreviewed,Homo sapiens (Human),R4GMW5,,,
AGL,AGL,unreviewed,Homo sapiens (Human),A0A1C7CYW1,,,
NAP1L1,NAP1L1,unreviewed,Homo sapiens (Human),F8VY35,,,
AP1S2,AP1S2,unreviewed,Homo sapiens (Human),H7BZG6,,,
ASCC1,ASCC1,unreviewed,Homo sapiens (Human),H0YER2,,,
KPNA1,KPNA1,unreviewed,Homo sapiens (Human),C9J4U1,,,
CERS2,CERS2,unreviewed,Homo sapiens (Human),H0YKH6,,,
PSMC3,PSMC3,unreviewed,Homo sapiens (Human),E9PM69,,,
TMEM230,TMEM230,unreviewed,Homo sapiens (Human),A0A087WTT2,,,
RPA1,RPA1,unreviewed,Homo sapiens (Human),I3L524,,,
SNRPD2,SNRPD2,unreviewed,Homo sapiens (Human),K7ERG4,,,
Oga,Oga,unreviewed,Rattus norvegicus (Rat),A0A0H2UI10,,,
EHBP1;KIAA0903;NACSIN,EHBP1,reviewed,Homo sapiens (Human),Q8NDI1,,,
AP2A2,AP2A2,unreviewed,Homo sapiens (Human),A0A0G2JRS3,,,
Gmpr2;GMPR;rCG_23399,Gmpr2,unreviewed,Rattus norvegicus (Rat),A0A0G2JX25,,,
PPP1R8;ARD1;NIPP1,PPP1R8,reviewed,Homo sapiens (Human),Q12972,,,
Pak1,Pak1,reviewed,Rattus norvegicus (Rat),P35465,,,
RAI14,RAI14,unreviewed,Homo sapiens (Human),D6RBW6,,,
S100A8;CAGA;CFAG;MRP8,S100A8,reviewed,Homo sapiens (Human),P05109,,,
PIH1D1;NOP17,PIH1D1,reviewed,Homo sapiens (Human),Q9NWS0,,,
SRPK1,SRPK1,unreviewed,Homo sapiens (Human),H0Y932,,,
Ap1s1;Ap1s1_predicted;rCG_21303,Ap1s1,unreviewed,Rattus norvegicus (Rat),B5DFI3,,,
AZI2,AZI2,unreviewed,Homo sapiens (Human),C9JVK8,,,
UBR7,UBR7,unreviewed,Homo sapiens (Human),G3V336,,,
ST13;AAG2;FAM10A1;HIP;SNC6,ST13,reviewed,Homo sapiens (Human),P50502,,,
DLAT,DLAT,unreviewed,Homo sapiens (Human),H0YDD4,,,
SUMF2,SUMF2,unreviewed,Homo sapiens (Human),J3QT17,,,
