Study,Schmidt_2016,Schmidt_2018,Dong_2020,Calciolari_2017
Assay,In vitro,In vitro,In vitro,In vivo
Species,Human,Human,Mouse,Rat
PXD,PXD002498,PXD009434,-,-
,HSPA1A;HSPA1B,COL1A2,PTBP1,ACTC1
,THBS2,HSPA1A;HSPA1B,KIDINS220,ACTA2
,POSTN,ACTG2;ACTA2,CCL8,ACTB
,CLIC1,THBS2,COX8A,ACTG1
,CCN1,POSTN,CTNS,APOE
,GAPDH,ABI3BP,CXCL12,COTL1
,SERPINE2,COL12A1,PRAF2,CCNDBP1
,MMP2,LTBP2,IGFBP5,LGALS16;LGALS14;LGALS13
,CD44,CCN1,NCAM1,NRP2
,FLNA,LDHA;LDHAL6A;LDHC,TNC,ZDHHC11B;ZDHHC11
,PTX3,COL1A1,ICAM1,PLPP7
,CCN2,COL3A1,TGFBR3,DENND2B
,FBN1,FN1,HMGN1,ARHGDIA
,YWHAZ,GAPDH,TGFB1I1,MRRF
,LRP1,GNAI2,WASL,SERPINH1
,PCOLCE,COL5A2,COL1A1,STAT3
,TGFBI,MMP2,CTSK,SOD1
,IGFBP7,ANXA5,IGF2R,TPM3
,CEMIP,LGALS1,ITGB2,VIM
,HTRA1,COL11A1,POSTN,PLG
,TUBA1C,COL6A1,TP53RK,AHSG
,ADAMTS1,COL6A2,UBE2V2,PRSS1;PRSS3;PRSS2
,EMILIN1,H2AX,TP53RK,ANXA1
,,FLNA,SMAD4,ANXA2
,,CES1,PSME1,APOA1
,,ITGA3,IRGM,APOA2
,,MSN,IRGQ,APOC3
,,CCN2,OTUD7B,C2
,,FBN1,PPAT,BIN2
,,HSPG2,BMP1,CHST11
,,COL14A1,OPLAH,CAT
,,MFGE8,TRMT112,COL1A1
,,MVP,PIR,COL1A2
,,PCOLCE,MVK,C3
,,IGFBP7,PDGFRB,C9
,,CEMIP,RAB2A,FGG
,,HTRA1,APOE,FN1
,,SEMA3C,ASPSCR1,FLNA
,,TUBA1C,CDH11,FFAR4
,,ANGPTL4,OGFR,GAPDH
,,PLSCR3,SPECC1,HPR;HP
,,,ITGB1,HNRNPK
,,,COL1A2,HRG
,,,REPS2,H2AZ2
,,,SRD5A3,ITIH1
,,,HGD,ITIH3
,,,ABHD10,KNG1
,,,GUSB,LLGL1
,,,SPECC1L,LUM
,,,GNS,CAPG
,,,COMP,RC3H2
,,,HNRNPK,MYL6
,,,CTSC,NPM1
,,,PTGES2,PPIA
,,,PRKACB,PRDX1
,,,CHERP,PRDX2
,,,NID1,PGK1
,,,ARF3,PGAM1;PGAM4
,,,PDE12,C4B;C4A
,,,SMAD2,S100A4
,,,KLHL9,S100A9
,,,DOK2,SNTB1
,,,MYH9,TLN1
,,,SPTAN1,TUBB4A
,,,VDAC2,VTN
,,,CD63,RBM3
,,,IGF1,SERPINH1
,,,SCRN1,HPS5
,,,FCGR3A;FCGR3B,SPZ1
,,,MTURN,THBS1
,,,PSAP,USP20
,,,LRCH4,GC
