Study,Schmidt_2016,Schmidt_2018,Dong_2020,Calciolari_2017
Assay,In vitro,In vitro,In vitro,In vivo
Species,Human,Human,Mouse,Rat
PXD,PXD002498,PXD009434,-,-
,A0A0G2JIW1;V9GZ37;P0DMV9;P0DMV8,P08123,no UniprotAC provided,P68035
,A0A3B3ITK0;Q5RI53;P35442,A0A0G2JIW1;V9GZ37;P0DMV9;P0DMV8,,P62738
,B1ALD9,F8WCH0;P63267;F8WB63;F6UVQ4;C9JFL5;F6QUT6;P62736;B8ZZJ2,,P60711
,O00299,A0A3B3ITK0;Q5RI53;P35442,,P63259
,O00622,B1ALD9,,P04764
,P04406,D3YTG3;H7C4X4;H0YEL2;E9PPR9;H0YF57;H7C556;H0YEA0;H0YDN0;H0Y897;H7C4S3;H7C524;H7C4N5;H7C5S3;H0YF18;Q5JPC9,,M0R8A9
,C9K031;C9JN98;P07093,H0Y4P7;Q99715;D6RGG3;H0Y991,,P02650
,H3BV48;H3BS34;P08253;H3BR66,Q14767;G3V511;G3V3X5;H0YJ20,,B0BNA5
,Q86UZ1;H0YDX6;H0Y5E4;P16070;E9PKC6;H0Y2P0;H0YDW7;H0YEV3;H0YD13;H0YE40;J3KN83;H0YEU1;H0YD17;H0YCV9;H0YD90,O00622,,Q5BK06
,P21333;H0Y5C6;H0Y5F3,F5GXU1;Q6ZMR3;F5H5J4;F5GYU2;F5H155;F5GXH2;P00338;F5H8H6;F5GXC7;F5GXY2;F5GWW2,,P47967
,P26022,I3L3H7;P02452,,P01836
,P29279,H7C435;P02461,,O35276
,F6U495;H0YN80;P35555,P02751;H0Y7Z1,,F1M6X9
,H0YB80;B7Z2E6,P04406,,Q5FVJ3
,Q07954;Q6PJ72,P04899,,F1LUA8
,Q15113,A0A3B3IRH9;P05997;A0A087WYX9,,D4A9H6
,D6RBX4;H0YAH8;H0YAB8;H0Y9D7;S4R3C6;H0Y8L3;Q15582;H0Y8M8,H3BV48;H3BS34;P08253;H3BR66,,Q5XI73
,Q16270,E9PHT9;D6RCN3;P08758;D6RBE9,,Q5RKI9
,H0YCE1;Q8WUJ3;H0YL56,F8WEI7;P09382,,P29457
,H0Y7G9;A0A3B3IU24;Q92743,P12107;A0A2R8Y5N4;A0A2R8YDU3;H7C381;C9JMN2;A0A0U1RRA7;A0A2R8Y4I5;A0A2R8Y4M5,,P52631
,Q9BQE3;F5H5D3,A0A087X0S5;P12109,,P07632
,Q9UHI8,C9JH44;H7C0M5;P12110,,Q63610
,A0A0A0MT20;Q9Y6C2,P16104,,F1M6H9
,,P21333;H0Y5C6;H0Y5F3,,G3V8C3
,,H3BSU0;P23141;H3BQR4;H3BQV8,,P63039
,,H0YA32;K7EMU3;D6R9X8;H0YA49;P26006,,Q7TP84
,,P26038;V9GZ54,,P14046
,,P29279,,Q63041
,,F6U495;H0YN80;P35555,,F1LM19
,,H7BYA5;H0Y5A9;A0A0U1RQT3;A0A3B3IT11;P98160,,P00762
